SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,1014 Shotwell St,San Francisco,CA,94110,3495000,7,5.0,San Francisco,3830,3672,1899,3,913,,Active,October-2-2021 12:00 PM,October-2-2021 02:00 PM,http://www.redfin.com/CA/San-Francisco/1014-Shotwell-St-94110/home/2025218,San Francisco MLS,421598751,N,Y,37.7519024,-122.4154242
MLS Listing,,Multi-Family (2-4 Unit),116 - 118 Park St,San Francisco,CA,94110,1820000,4,2.0,San Francisco,2345,1500,1924,3,776,,Active,October-2-2021 01:30 PM,October-2-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/116-Park-St-94110/home/1735586,San Francisco MLS,421597824,N,Y,37.7364826,-122.4230328
MLS Listing,,Single Family Residential,994 Corbett Ave,San Francisco,CA,94131,2795000,3,3.0,San Francisco,3110,1790,1947,3,899,,Active,October-2-2021 02:00 PM,October-2-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/994-Corbett-Ave-94131/home/683771,San Francisco MLS,421598579,N,Y,37.7507019,-122.4442357
MLS Listing,,Single Family Residential,358 Maynard St,San Francisco,CA,94112,995000,2,2.0,San Francisco,1650,2391,1942,3,603,,Active,October-3-2021 12:00 PM,October-3-2021 02:00 PM,http://www.redfin.com/CA/San-Francisco/358-Maynard-St-94112/home/1511127,San Francisco MLS,421598087,N,Y,37.7300588,-122.4224789
MLS Listing,,Multi-Family (5+ Unit),1536 - 1552 Great Hwy,San Francisco,CA,94122,9950000,0,,San Francisco,19391,16121,1907,3,513,,Active,,,http://www.redfin.com/CA/San-Francisco/1536-Great-Hwy-94122/home/1324870,San Francisco MLS,421598730,N,Y,37.7576524,-122.5086263
MLS Listing,,Condo/Co-op,798 Stanyan St #7,San Francisco,CA,94117,1628000,2,2.0,San Francisco,1464,4369,2001,3,1112,685,Active,,,http://www.redfin.com/CA/San-Francisco/798-Stanyan-St-94117/unit-7/home/1224204,San Francisco MLS,421598649,N,Y,37.767502,-122.4528937
MLS Listing,,Condo/Co-op,216 Filbert St #2,San Francisco,CA,94133,775000,2,1.5,San Francisco,623,5953,1900,3,1244,311,Active,,,http://www.redfin.com/CA/San-Francisco/216-Filbert-St-94133/unit-2/home/12354772,San Francisco MLS,421598716,N,Y,37.80253,-122.4035614
MLS Listing,,Condo/Co-op,1726 Larkin St,San Francisco,CA,94109,1350000,3,2.0,San Francisco,1490,3598,1905,3,906,277,Active,October-3-2021 01:00 PM,October-3-2021 03:00 PM,http://www.redfin.com/CA/San-Francisco/1726-Larkin-St-94109/home/176545872,San Francisco MLS,421598711,N,Y,37.7938394,-122.4194435
MLS Listing,,Condo/Co-op,847 Arguello Blvd #4,San Francisco,CA,94118,1198000,2,2.0,San Francisco,983,3967,1983,3,1219,533,Active,October-2-2021 11:00 AM,October-2-2021 01:00 PM,http://www.redfin.com/CA/San-Francisco/847-Arguello-Blvd-94118/unit-4/home/620921,San Francisco MLS,421598534,N,Y,37.7749603,-122.4586882
MLS Listing,,Condo/Co-op,580 Hayes St #303,San Francisco,CA,94102,1895000,2,2.0,San Francisco,1321,12020,2018,3,1435,802,Active,October-2-2021 02:00 PM,October-2-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/580-Hayes-St-94102/unit-303/home/167260940,San Francisco MLS,421596907,N,Y,37.7767079,-122.4259839
